Datetime,Fan_Status,Humidity_Status,Light_Status,Moisture_Status0,Moisture_Status1,Moisture_Status2,Moisture_Status3,RoomTemp_Status,WG1_Set,WG2_Set
Tue Feb 22 03:31:01 2022,1.0,66.19,1.0,0.67,7.28,9.25,4.59,27.67,35.0,35.0
Tue Feb 22 03:32:01 2022,1.0,76.89,1.0,0.69,7.26,9.25,4.59,27.77,35.0,35.0
Tue Feb 22 03:33:01 2022,1.0,76.65,1.0,0.69,7.27,9.24,4.59,27.68,35.0,35.0
Tue Feb 22 03:34:01 2022,1.0,77.42,1.0,0.7,7.27,9.26,4.6,27.51,35.0,35.0
Tue Feb 22 03:35:01 2022,1.0,76.64,1.0,0.7,7.27,9.25,4.59,27.71,35.0,35.0
Tue Feb 22 03:36:01 2022,1.0,76.49,1.0,0.68,7.27,9.24,4.6,27.86,35.0,35.0
Tue Feb 22 03:37:01 2022,1.0,76.68,1.0,0.7,7.3,9.25,4.6,27.99,35.0,35.0
Tue Feb 22 03:38:01 2022,1.0,76.51,1.0,0.71,8.27,9.25,4.6,27.91,35.0,35.0
Tue Feb 22 03:39:01 2022,1.0,76.57,1.0,0.7,7.27,9.25,4.6,27.93,35.0,35.0
Tue Feb 22 03:40:01 2022,1.0,76.77,1.0,0.7,7.26,9.25,4.6,27.99,35.0,35.0
Tue Feb 22 03:41:01 2022,1.0,76.5,1.0,0.69,7.29,9.25,4.6,27.94,35.0,35.0
Tue Feb 22 03:42:01 2022,1.0,76.5,1.0,0.69,8.26,9.25,4.59,27.98,35.0,35.0
Tue Feb 22 03:43:01 2022,1.0,76.61,1.0,0.69,7.27,9.25,4.61,27.96,35.0,35.0
Tue Feb 22 03:44:01 2022,1.0,76.61,1.0,0.71,7.28,9.25,4.59,27.81,35.0,35.0
Tue Feb 22 03:45:01 2022,1.0,76.59,1.0,0.7,7.27,9.25,4.6,27.8,35.0,35.0
Tue Feb 22 03:46:01 2022,1.0,73.17,1.0,0.72,7.28,9.25,4.6,27.82,35.0,35.0
Tue Feb 22 03:47:01 2022,1.0,73.8,1.0,0.68,8.27,9.25,4.6,27.78,35.0,35.0
Tue Feb 22 03:48:01 2022,1.0,76.84,1.0,0.7,7.28,9.25,4.6,27.79,35.0,35.0
Tue Feb 22 03:49:01 2022,1.0,73.8,1.0,0.69,8.26,9.26,4.59,27.55,35.0,35.0
Tue Feb 22 03:50:01 2022,1.0,76.59,1.0,0.72,7.28,9.25,4.59,27.66,35.0,35.0
Tue Feb 22 04:14:28 2022,0.0,73.9,0.0,0.71,7.28,9.26,4.59,27.57,20.0,20.0
Tue Feb 22 04:18:57 2022,0.0,73.15,0.0,0.72,7.27,9.25,4.6,27.94,20.0,20.0
Tue Feb 22 04:38:10 2022,8.0,6.0,7.0,1.0,2.0,3.0,4.0,5.0,9.0,10.0
Tue Feb 22 04:39:10 2022,0.0,73.8,0.0,0.71,7.28,9.25,4.59,27.91,20.0,20.0
Tue Feb 22 04:39:47 2022,0.0,76.53,0.0,0.67,7.27,9.25,4.59,28.0,20.0,20.0
Tue Feb 22 04:40:52 2022,0.0,77.11,0.0,0.7,7.27,9.25,4.6,27.94,20.0,20.0
Tue Feb 22 04:41:57 2022,0.0,76.58,0.0,0.71,7.27,9.25,4.59,28.3,20.0,20.0
Tue Feb 22 04:43:02 2022,0.0,76.65,0.0,0.7,7.27,9.25,4.58,27.96,20.0,20.0
Tue Feb 22 04:44:07 2022,0.0,76.57,0.0,0.72,7.27,9.25,4.58,28.2,20.0,20.0
Tue Feb 22 04:45:12 2022,0.0,76.59,0.0,0.68,7.27,9.24,4.59,27.96,20.0,20.0
Tue Feb 22 04:46:17 2022,0.0,76.52,0.0,0.7,8.26,9.25,4.59,27.86,20.0,20.0
Tue Feb 22 04:47:22 2022,0.0,77.2,0.0,0.69,8.26,9.25,4.6,27.9,20.0,20.0
Tue Feb 22 04:47:58 2022,0.0,76.57,0.0,0.72,7.27,9.26,4.58,27.94,20.0,20.0
Tue Feb 22 04:49:10 2022,0.0,76.59,0.0,0.7,7.27,9.25,4.59,27.87,20.0,20.0
Tue Feb 22 04:50:15 2022,0.0,76.54,0.0,0.71,7.29,9.26,4.59,27.87,20.0,20.0
Tue Feb 22 04:51:20 2022,0.0,76.53,0.0,0.73,8.27,9.25,4.58,27.69,20.0,20.0
Tue Feb 22 04:52:25 2022,0.0,76.54,0.0,0.68,8.27,9.25,4.59,27.73,20.0,20.0
Tue Feb 22 04:53:02 2022,0.0,76.57,0.0,0.7,8.27,9.25,4.58,27.61,20.0,20.0
Tue Feb 22 04:54:02 2022,0.0,76.63,0.0,0.69,7.27,9.25,4.58,27.69,20.0,20.0
Tue Feb 22 04:55:02 2022,0.0,76.54,0.0,0.71,8.27,9.25,4.58,27.54,20.0,20.0
Tue Feb 22 04:56:02 2022,0.0,76.55,0.0,0.71,7.28,9.26,4.58,27.5,20.0,20.0
Tue Feb 22 04:57:02 2022,0.0,73.8,0.0,0.73,8.26,9.26,4.58,27.5,20.0,20.0
Tue Feb 22 04:58:02 2022,0.0,73.79,0.0,0.71,8.27,9.25,4.58,27.57,20.0,20.0
Tue Feb 22 04:59:02 2022,0.0,73.9,0.0,0.71,8.26,9.26,4.59,27.72,20.0,20.0
Tue Feb 22 05:00:09 2022,0.0,73.15,0.0,0.7,7.28,9.26,4.59,27.98,20.0,20.0
Tue Feb 22 05:01:09 2022,0.0,76.85,0.0,0.69,7.28,9.25,4.59,28.2,20.0,20.0
Tue Feb 22 05:02:09 2022,1.0,76.51,1.0,0.68,7.28,9.25,4.59,28.0,40.0,35.0
Tue Feb 22 05:03:09 2022,1.0,77.14,1.0,0.7,7.27,9.25,4.58,27.92,45.0,40.0
Tue Feb 22 05:04:09 2022,1.0,74.67,1.0,0.71,8.27,9.26,4.58,27.99,45.0,40.0
Tue Feb 22 05:05:09 2022,1.0,76.58,1.0,0.7,7.27,9.25,4.59,28.2,45.0,40.0
Tue Feb 22 05:06:09 2022,1.0,76.56,1.0,0.69,7.27,9.26,4.59,27.99,50.0,45.0
Tue Feb 22 05:07:09 2022,1.0,75.15,1.0,0.68,8.26,9.25,4.58,27.94,50.0,45.0
Tue Feb 22 05:08:09 2022,1.0,73.5,1.0,0.7,8.27,9.25,4.58,27.9,55.0,50.0
Tue Feb 22 05:09:09 2022,1.0,73.7,1.0,0.73,7.27,9.25,4.59,27.8,55.0,50.0
Tue Feb 22 05:10:09 2022,1.0,73.2,1.0,0.74,8.27,9.25,4.57,27.81,55.0,50.0
Tue Feb 22 05:11:09 2022,1.0,73.8,1.0,0.71,7.27,9.26,4.59,27.78,55.0,50.0
Tue Feb 22 05:12:09 2022,1.0,73.3,1.0,0.72,7.27,9.24,4.58,27.68,55.0,50.0
Tue Feb 22 05:13:09 2022,1.0,74.17,1.0,0.72,8.27,9.25,4.59,27.69,55.0,50.0
Tue Feb 22 05:14:09 2022,1.0,76.52,1.0,0.7,7.27,9.25,4.59,27.58,55.0,50.0
Tue Feb 22 05:15:09 2022,1.0,76.51,1.0,0.72,7.28,9.25,4.59,27.57,55.0,50.0
Tue Feb 22 05:16:09 2022,1.0,73.18,1.0,0.7,7.27,9.25,4.58,27.56,55.0,50.0
Tue Feb 22 05:17:09 2022,1.0,76.59,1.0,0.73,7.27,9.26,4.57,27.48,55.0,50.0
Tue Feb 22 05:18:09 2022,1.0,76.54,1.0,0.73,8.27,9.24,4.58,27.38,55.0,50.0
Tue Feb 22 05:19:09 2022,1.0,77.19,1.0,0.72,7.28,9.25,4.58,27.48,55.0,50.0
Tue Feb 22 05:20:09 2022,1.0,76.71,1.0,1.72,7.27,9.25,4.58,27.63,55.0,50.0
Tue Feb 22 05:21:09 2022,1.0,76.61,1.0,0.71,7.27,9.25,4.59,27.65,55.0,50.0
Tue Feb 22 05:22:09 2022,1.0,76.92,1.0,0.72,8.27,9.25,4.59,27.96,55.0,50.0
Tue Feb 22 05:23:09 2022,1.0,73.9,1.0,0.7,8.26,9.25,4.58,27.98,55.0,50.0
Tue Feb 22 05:24:09 2022,1.0,77.9,1.0,0.71,7.27,9.25,4.59,27.97,55.0,50.0
Tue Feb 22 05:25:09 2022,1.0,73.9,1.0,0.7,8.26,9.25,4.59,27.86,55.0,50.0
Tue Feb 22 05:26:09 2022,1.0,73.8,1.0,0.69,8.27,9.25,4.58,27.73,55.0,50.0
Tue Feb 22 05:27:09 2022,1.0,76.64,1.0,0.7,7.27,9.25,4.58,27.9,55.0,50.0
Tue Feb 22 05:28:09 2022,1.0,77.9,1.0,0.7,8.27,9.24,4.57,27.77,55.0,50.0
Tue Feb 22 05:29:09 2022,1.0,76.59,1.0,0.7,8.26,9.25,4.58,27.76,55.0,50.0
Tue Feb 22 05:30:09 2022,1.0,73.37,1.0,0.73,8.27,9.26,4.58,27.71,55.0,50.0
Tue Feb 22 05:31:09 2022,1.0,66.27,1.0,0.72,7.27,9.25,4.59,27.7,55.0,50.0
Tue Feb 22 05:32:09 2022,1.0,77.17,1.0,0.71,8.27,9.24,4.57,27.51,55.0,50.0
Tue Feb 22 05:33:09 2022,1.0,73.8,1.0,0.72,7.27,9.26,4.58,27.64,55.0,50.0
Tue Feb 22 05:34:09 2022,1.0,73.9,1.0,0.71,8.27,9.26,4.58,27.5,55.0,50.0
Tue Feb 22 05:35:09 2022,1.0,76.61,1.0,0.73,8.27,9.25,4.58,27.52,55.0,50.0
Tue Feb 22 05:36:09 2022,1.0,76.55,1.0,0.71,8.27,9.26,4.58,27.55,55.0,50.0
Tue Feb 22 05:37:09 2022,1.0,73.8,1.0,0.72,8.27,9.25,4.59,27.49,55.0,50.0
Tue Feb 22 05:38:09 2022,1.0,76.58,1.0,0.71,7.27,9.25,4.58,27.44,55.0,50.0
Tue Feb 22 05:39:09 2022,1.0,73.8,1.0,0.72,8.27,9.25,4.59,27.57,55.0,50.0
Tue Feb 22 05:39:20 2022,0,76.54,0,0.71,8.27,9.25,4.58,27.53,20,20
Tue Feb 22 05:40:20 2022,0,76.52,0,0.7,8.27,9.25,4.58,27.7,20,20
Tue Feb 22 05:41:20 2022,1,76.71,1,0.7,7.28,9.25,4.58,27.94,45,30
Tue Feb 22 05:42:20 2022,1,76.64,1,0.69,7.27,9.25,4.59,27.98,60,40
Tue Feb 22 05:43:20 2022,1,76.56,1,0.67,8.26,9.25,4.58,28.3,60,60
Tue Feb 22 05:44:20 2022,1,73.11,1,0.69,7.28,9.25,4.59,27.98,20,20
Tue Feb 22 05:45:20 2022,1,76.57,1,0.71,7.28,9.26,4.59,27.98,20,20
Tue Feb 22 05:46:20 2022,1,74.8,1,0.68,7.27,9.25,4.6,27.98,20,20
Tue Feb 22 05:47:20 2022,1,76.52,1,0.72,7.28,9.25,4.59,27.99,20,20
Tue Feb 22 05:48:20 2022,1,76.61,1,0.71,8.26,9.25,4.59,27.98,20,20
Tue Feb 22 05:49:20 2022,1,76.52,1,0.71,7.27,9.26,4.59,27.96,20,20
Tue Feb 22 05:50:20 2022,1,73.7,1,0.71,8.27,9.25,4.58,27.85,20,20
Tue Feb 22 05:51:20 2022,1,76.61,1,0.71,7.28,9.25,4.58,27.82,20,20
Tue Feb 22 05:52:20 2022,0,73.8,0,0.68,8.27,9.25,4.58,27.79,35,30
Tue Feb 22 05:53:20 2022,0,76.6,0,0.71,8.27,9.25,4.59,27.8,35,30
Tue Feb 22 05:54:20 2022,0,76.65,0,0.73,8.27,9.25,4.58,27.72,35,30
Tue Feb 22 05:55:20 2022,0,76.57,0,0.68,7.28,9.25,4.59,27.72,35,30
Tue Feb 22 05:56:20 2022,1,77.3,0,0.73,7.27,9.25,4.59,27.69,35,30
Tue Feb 22 05:57:20 2022,0,75.56,0,0.71,7.29,9.25,4.57,27.61,35,30
Tue Feb 22 05:58:20 2022,1,73.9,1,0.72,8.27,9.25,4.58,27.52,40,60
Tue Feb 22 05:59:20 2022,1,76.65,1,0.72,7.27,9.26,4.58,27.54,40,60
Tue Feb 22 06:00:20 2022,1,73.8,1,0.72,7.28,9.25,4.58,27.43,40,60
Tue Feb 22 06:01:20 2022,0,73.39,0,0.73,7.28,9.24,4.57,27.58,50,60
Tue Feb 22 06:02:20 2022,0,76.65,0,1.71,8.27,9.25,4.58,27.53,50,60
